title,company,location,site,fit_score,is_target,date_posted,job_url,matched_keywords
海外销售,Tederic Machinery,"Hangzhou, Zhejiang, China",linkedin,110.0,False,2026-09-06,https://www.linkedin.com/jobs/view/4461809207,"['外贸业务', '海外销售', '客户开发']"
海外销售（欧美方向） (MJ001168),百草味,"Hangzhou, Zhejiang, China",linkedin,110.0,False,2026-09-04,https://www.linkedin.com/jobs/view/4460772392,"['海外销售', '跨境电商', '海外市场']"
外贸业务员,浙江泰普森控股集团有限公司,"Hangzhou, Zhejiang, China",linkedin,70.0,False,2026-09-06,https://www.linkedin.com/jobs/view/4461820144,"['外贸业务', '客户开发', '展会']"
CoGolinks跨境销售BD,VBill Payment,"Hangzhou, Zhejiang, China",linkedin,60.0,False,2026-09-06,https://www.linkedin.com/jobs/view/4461819262,"['跨境电商', '海外市场']"
电商与流通行业客户运维保障专员（阿里）,SF Express Corporation - USA,"Hangzhou, Zhejiang, China",linkedin,60.0,False,2026-09-03,https://www.linkedin.com/jobs/view/4460493322,"['跨境电商', '国际业务']"
海外销售（base全国，不限制，不坐班）,北京英博电气股份有限公司,"Jiaxing, Zhejiang, China",linkedin,50.0,False,2026-09-06,https://www.linkedin.com/jobs/view/4461812214,['海外销售']
27校招-业务经营,上海凯莱英生物技术有限公司,"Hangzhou, Zhejiang, China",linkedin,50.0,False,2026-09-05,https://www.linkedin.com/jobs/view/4461418396,['外贸业务']
外贸销售员（2027届管培生）,"Brother Enterprises Holding Co., Ltd.","Jiaxing, Zhejiang, China",linkedin,50.0,False,2026-09-05,https://www.linkedin.com/jobs/view/4461430246,['外贸销售']
国际物流销售,EKY,"Chengdu, Sichuan, China",linkedin,50.0,False,2026-09-04,https://www.linkedin.com/jobs/view/4461106176,['跨境电商']
管培生-应届-成都-Terumo,泰尔茂,"Chengdu, Sichuan, China",linkedin,12.0,False,2026-09-02,https://www.linkedin.com/jobs/view/4460920177,"['客户开发', '数据分析']"
有机硅海外营销工程师 (MJ002992),新安传媒有限公司,"Hangzhou, Zhejiang, China",linkedin,10.0,False,2026-09-05,https://www.linkedin.com/jobs/view/4461423346,['海外市场']
"Executive, Field Sales",DHL Global Forwarding,,linkedin,10.0,False,,https://www.linkedin.com/jobs/view/4464078610,['英语四级']
On昂跑 店长 成都万象城店铺 ID216989,友邦科技,"Chengdu, Sichuan, China",linkedin,10.0,False,2026-09-05,https://www.linkedin.com/jobs/view/4461422358,['english fluent']
数据分析（供应链方向）(J10473),"Eoptolink Technology Inc., Ltd.","Chengdu, Sichuan, China",linkedin,4.0,False,2026-09-06,https://www.linkedin.com/jobs/view/4461807220,"['数据分析', '硕士']"
直播产品运营专员-杭州,Lazada,,linkedin,2.0,False,,https://www.linkedin.com/jobs/view/4464090265,['数据分析']
品类运营（京东） (MJ001134),百草味,"Hangzhou, Zhejiang, China",linkedin,2.0,False,2026-09-04,https://www.linkedin.com/jobs/view/4461105103,['数据分析']
电商运营（CBME）(J16471),Beingmate,"Hangzhou, Zhejiang, China",linkedin,2.0,False,2026-09-02,https://www.linkedin.com/jobs/view/4460960787,['数据分析']
Operation Executive,Haleon,,linkedin,2.0,False,2026-09-03,https://www.linkedin.com/jobs/view/4443139384,['数据分析']
Commodity Team Leader,Sourceo,"C02, CN",indeed,2.0,False,2026-08-27,https://cn.indeed.com/viewjob?jk=ce0027f81e001329,['data analysis']
BD（成都）,MEDx,"Chengdu, Sichuan, China",linkedin,2.0,False,2026-09-05,https://www.linkedin.com/jobs/view/4461437462,['硕士']
Sales Enablement Specialist,埃克森美孚中国 ExxonMobil China,"Chengdu, Sichuan, China",linkedin,2.0,False,2026-09-04,https://www.linkedin.com/jobs/view/4444415929,['data analysis']
"Seller Ops Specialist, Seller Operations",Amazon,"Chengdu, Sichuan, China",linkedin,2.0,False,2026-09-01,https://www.linkedin.com/jobs/view/4461735006,['data analysis']
CD,Johnson & Johnson MedTech,"Chengdu, Sichuan, China",linkedin,2.0,False,2026-09-01,https://www.linkedin.com/jobs/view/4304675913,['硕士']
"AP Analyst - Japan, Finance Operation, APAC Retail AP team",Amazon,"Chengdu, Sichuan, China",linkedin,2.0,False,2026-09-04,https://www.linkedin.com/jobs/view/4463348502,['data analysis']
【慧策校招】-销售管培生-高提点-To B-J15265,北京掌上先机网络科技有限公司,"Chengdu, Sichuan, China",linkedin,2.0,False,2026-09-05,https://www.linkedin.com/jobs/view/4461423972,['数据分析']
